id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
88	disclosurehyp	4	0	0	0	1			34	29	31.5			45	26	35.5			10	17	13.5			19	21	20			92	94	93	25.125	24	1	5	7	4	2
89	honesthyp	2	0	0	1	0		51	55		53		60	54		57		60	55		57.5		63	54		58.5		70	58		64	56.5	31	2	5	9	5	2
90	honesthyp	2	0	0	1	0	71	49			60	54	66			60	72	59			65.5	71	62			66.5	30	55			42.5	63	22	1	5	9	6	1
91	honesthyp	2	0	0	1	0		50	50		50		50	50		50		50	50		50		50	50		50		50	50		50	50	36	1	5	9	4	1
92	controltrans	3	0	1	0	0			10	14	12			36	35	35.5			8	24	16			10	23	16.5			81	69	75	20	53	2	5	6	6	3
93	honesthyp	2	0	0	1	0	35			26	30.5	31			31	31	22			29	25.5	1			21	11	86			80	83	24.5	38	2	2	10	4	1
94	disclosurehyp	4	0	0	0	1		50	50		50		50	50		50		50	50		50		50	50		50		50	50		50	50	37	1	1	4	4	3
95	tradhyp	1	1	0	0	0		18	13		15.5		32	9		20.5		36	11		23.5		33	14		23.5		91	99		95	20.75	34	1	5	9	5	3
96	honesthyp	2	0	0	1	0	61			50	55.5	50			45	47.5	58			40	49	70			36	53	30			60	45	51.25	31	1	6	4	6	3
97	honesthyp	2	0	0	1	0	32			6	19	45			10	27.5	38			28	33	56			40	48	89			90	89.5	31.875	35	2	4	1	3	2
98	controltrans	3	0	1	0	0	45	57			51	54	41			47.5	56	42			49	43	62			52.5	55	46			50.5	50	34	1	5	7	5	1
99	tradhyp	1	1	0	0	0		17	19		18		17	16		16.5		29	17		23		16	29		22.5		15	48		31.5	20	30	2	5	9	5	2
100	disclosurehyp	4	0	0	0	1		87	78		82.5		81	81		81		76	76		76		84	77		80.5		50	50		50	80	24	2	4	4	4	1
101	tradhyp	1	1	0	0	0		38	37		37.5		41	39		40		43	41		42		38	40		39		81	83		82	39.625	39	2	2	9	6	3
102	honesthyp	2	0	0	1	0	35			45	40	35			47	41	36			44	40	40			51	45.5	74			39	56.5	41.625	40	2	4	2	6	4
103	disclosurehyp	4	0	0	0	1	1	16			8.5	38	53			45.5	7	29			18	4	28			16	97	80			88.5	22	29	2	5	9	5	3
104	tradhyp	1	1	0	0	0		8	5		6.5		50	15		32.5		4	8		6		50	0		25		50	87		68.5	17.5	21	2	5	6	6	1
105	tradhyp	1	1	0	0	0		50	10		30		50	49		49.5		99	9		54		9	9		9		99	97		98	35.625	25	1	6	3	6	2
