id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
574	tradhyp	1	1	0	0	0	22	29			25.5	17	31			24	21	28			24.5	9	28			18.5	100	92			96	23.125	23	1	6	1	5	1
575	tradhyp	1	1	0	0	0			0	14	7			8	33	20.5			28	14	21			29	0	14.5			100	100	100	15.75	25	2	4	1	4	1
576	honesthyp	2	0	0	1	0	53	62			57.5	46	55			50.5	47	58			52.5	39	64			51.5	55	26			40.5	53	23	1	6	4	6	2
577	controltrans	3	0	1	0	0	28			29	28.5	43			36	39.5	34			25	29.5	9			21	15	68			65	66.5	28.125	45	1	4	7	5	2
578	controltrans	3	0	1	0	0			50	50	50			50	50	50			50	50	50			50	50	50			2	16	9	50	48	2	5	5	3	3
579	disclosurehyp	4	0	0	0	1	2			4	3	14			20	17	2			0	1	1			2	1.5	100			100	100	5.625	27	2	4	3	4	2
580	honesthyp	2	0	0	1	0			43	41	42			53	50	51.5			53	51	52			53	51	52			70	71	70.5	49.375	29	2	4	4	5	3
581	honesthyp	2	0	0	1	0	51			26	38.5	25			60	42.5	28			36	32	0			0	0	19			34	26.5	28.25	21	2	4	3	5	3
582	disclosurehyp	4	0	0	0	1	3			24	13.5	0			26	13	0			30	15	5			19	12	94			92	93	13.375	22	2	6	3	5	3
583	controltrans	3	0	1	0	0	31			31	31	40			34	37	21			32	26.5	26			23	24.5	79			19	49	29.75	37	1	4	4	5	1
584	disclosurehyp	4	0	0	0	1			52	27	39.5			50	39	44.5			35	30	32.5			36	40	38			35	56	45.5	38.625	32	2	5	5	4	2
585	controltrans	3	0	1	0	0	30	60			45	36	57			46.5	31	55			43	14	55			34.5	78	64			71	42.25	33	2	5	9	6	3
586	controltrans	3	0	1	0	0			50	50	50			35	38	36.5			50	50	50			14	43	28.5			12	0	6	41.25	36	1	4	6	6	1
587	honesthyp	2	0	0	1	0	26			33	29.5	22			28	25	15			24	19.5	17			24	20.5	85			90	87.5	23.625	54	2	4	8	4	2
588	controltrans	3	0	1	0	0	53	69			61	24	61			42.5	55	39			47	63	65			64	65	59			62	53.625	23	1	4	1	5	1
589	controltrans	3	0	1	0	0		0	0		0		9	1		5		6	0		3		11	0		5.5		36	100		68	3.375	80	2	6	6	7	1
590	tradhyp	1	1	0	0	0		66	22		44		73	42		57.5		66	17		41.5		91	10		50.5		24	91		57.5	48.375	38	1	4	4	6	1
591	controltrans	3	0	1	0	0			42	46	44			43	46	44.5			46	44	45			33	46	39.5			62	47	54.5	43.25	39	2	5	9	5	1
592	honesthyp	2	0	0	1	0			68	68	68			35	60	47.5			40	65	52.5			24	54	39			92	33	62.5	51.75	26	1	2	4	3	3
593	controltrans	3	0	1	0	0		43	34		38.5		45	41		43		55	35		45		50	38		44		45	67		56	42.625	27	1	2	3	4	1
594	tradhyp	1	1	0	0	0	27	37			32	46	39			42.5	31	37			34	27	19			23	98	74			86	32.875	21	2	4	5	2	1
595	tradhyp	1	1	0	0	0		44	47		45.5		43	53		48		45	40		42.5		41	35		38		98	96		97	43.5	39	2	4	4	3	2
596	disclosurehyp	4	0	0	0	1	50			50	50	19			65	42	1			15	8	0			68	34	99			100	99.5	33.5	30	2	2	5	5	2
597	controltrans	3	0	1	0	0		28	67		47.5		29	68		48.5		23	67		45		34	58		46		38	24		31	46.75	25	2	5	3	4	1
598	disclosurehyp	4	0	0	0	1	30			34	32	46			48	47	18			18	18	13			10	11.5	89			100	94.5	27.125	38	2	4	2	4	2
599	honesthyp	2	0	0	1	0			41	41	41			42	35	38.5			31	22	26.5			50	40	45			91	98	94.5	37.75	40	2	4	7	4	2
600	honesthyp	2	0	0	1	0			50	69	59.5			62	68	65			64	76	70			74	74	74			72	78	75	67.125	21	1	4	3	5	2
601	controltrans	3	0	1	0	0	66	50			58	51	47			49	52	51			51.5	50	50			50	52	50			51	52.125	35	2	4	6	4	3
602	controltrans	3	0	1	0	0			28	25	26.5			29	34	31.5			23	11	17			12	34	23			79	74	76.5	24.5	34	1	4	7	5	3
603	controltrans	3	0	1	0	0	55	38			46.5	36	0			18	54	64			59	52	45			48.5	63	61			62	43	20	2	4	2	5	4
604	honesthyp	2	0	0	1	0			55	65	60			66	63	64.5			54	64	59			60	64	62			64	51	57.5	61.375	30	2	5	6	5	1
605	tradhyp	1	1	0	0	0			45	50	47.5			48	50	49			45	44	44.5			46	50	48			84	74	79	47.25	43	2	5	7	4	2
606	disclosurehyp	4	0	0	0	1	40			18	29	50			47	48.5	24			39	31.5	35			18	26.5	70			65	67.5	33.875	25	2	6	3	6	1
607	controltrans	3	0	1	0	0	0	43			21.5	18	43			30.5	9	43			26	15	22			18.5	50	50			50	24.125	43	2	5	5	6	1
608	disclosurehyp	4	0	0	0	1		22	14		18		37	43		40		0	33		16.5		23	0		11.5		0	100		50	21.5	19	1	4	7	4	1
609	honesthyp	2	0	0	1	0	50			43	46.5	63			57	60	39			66	52.5	72			39	55.5	40			64	52	53.625	26	1	4	4	6	1
610	honesthyp	2	0	0	1	0	35			40	37.5	43			56	49.5	38			39	38.5	31			51	41	70			55	62.5	41.625	59	1	6	10	5	2
611	controltrans	3	0	1	0	0	37	43			40	33	43			38	35	45			40	33	50			41.5	50	50			50	39.875	69	2	6	5	3	2
612	honesthyp	2	0	0	1	0			19	32	25.5			36	40	38			31	43	37			28	38	33			77	75	76	33.375	40	1	4	6	6	1
